"","source","value"
"1240","cgtn",1
"1241","cgtn",2
"1242","cgtn",-1
"1243","cgtn",1
"1244","cgtn",-2
"1245","cgtn",-1
"1246","cgtn",-3
"1247","cgtn",1
"1248","cgtn",-1
"1249","cgtn",1
"1250","cgtn",-2
"1251","cgtn",2
"1252","cgtn",-2
"1253","cgtn",-2
"1254","cgtn",-1
"1255","cgtn",-1
"1256","cgtn",2
"1257","cgtn",-2
"1258","cgtn",-1
"1259","cgtn",-2
"1260","cgtn",-2
"1261","cgtn",-2
"1262","cgtn",-2
"1263","cgtn",1
"1264","cgtn",1
"1265","cgtn",-2
"1266","cgtn",3
"1267","cgtn",-2
"1268","cgtn",-2
"1269","cgtn",-2
"1270","cgtn",-1
"1271","cgtn",-1
"1272","cgtn",-2
"1273","cgtn",-2
"1274","cgtn",-2
"1275","cgtn",-3
"1276","cgtn",-2
"1277","cgtn",2
"1278","cgtn",1
"1279","cgtn",-1
"1280","cgtn",1
